id,plot
1,Does the movie contain action scenes?
2,Who had climbed the building from the outside?
3,Did the explosion kill all the thefts?
4,Why are the bullies so rich and own a company in the end?
5,How did the hero save all the people from that height building?
6,How fast does that cow run toward the man in the stable?
7,Why did the hero leave the desert to the moon?
8,What kind of illness killed astronauts in space?
9,What color was the fastest car on track?
10,Why does the leading musician play that sad song?
